source_id,source_slug,source_article,target_slug,target_url,anchor_text,full_crosslink_text,context_snippet,href
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,k0l9s1hf,https://oecs.mit.edu/pub/k0l9s1hf,Morphology,[see Morphology],"Words also adapt to respect the grammatical context they appear in (), as in the morpheme error “she’s already trunked two packs” instead of “she’s already packed two trunks” (), in which the noun “trunk” turns into a verb inflected for...",https://oecs.mit.edu/pub/k0l9s1hf
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,e9aapok3,https://oecs.mit.edu/pub/e9aapok3,Language Production,[see Language Production and Psycholinguistics],"Slips were instrumental in shaping psycholinguistic models of language production (, , ) [see Language Production and Psycholinguistics]. Errors show that speaking involves planning and building linguistic representations (sentences, phr...",https://oecs.mit.edu/pub/e9aapok3
53d4d049-1c60-4f53-a2d1-cf2a1e3e5364,l6g6kh9i,Speech Errors,y1uhdz0y,https://oecs.mit.edu/pub/y1uhdz0y,Psycholinguistics,[see Language Production and Psycholinguistics],"Slips were instrumental in shaping psycholinguistic models of language production (, , ) [see Language Production and Psycholinguistics]. Errors show that speaking involves planning and building linguistic representations (sentences, phr...",https://oecs.mit.edu/pub/y1uhdz0y
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,y1uhdz0y,https://oecs.mit.edu/pub/y1uhdz0y,Psycholinguistics,[see Psycholinguistics],"Starting in the 1980s, much experimental work concerned how speakers decide the syntactic structure of their sentences [see Psycholinguistics]. Researchers often ask participants to describe line drawings of scenes (e.g., bees stinging a...",https://oecs.mit.edu/pub/y1uhdz0y
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,l60gyowl,https://oecs.mit.edu/pub/l60gyowl,Sign Language,[see Sign Language],Language production research has historically focused on spoken language. A growing body of research demonstrates many similarities between spoken and signed language production despite the difference in modality () [see Sign Language]....,https://oecs.mit.edu/pub/l60gyowl
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,k0l9s1hf,https://oecs.mit.edu/pub/k0l9s1hf,Morphology,[see Morphology],"A morpheme is the smallest unit of language that carries meaning. For example, “bees” contains the morpheme for “bee” and a plural “s,” whereas “babysitting” contains “baby,” “sit,” and “ing” [see Morphology]. Relatively little research...",https://oecs.mit.edu/pub/k0l9s1hf
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,xohbfbix,https://oecs.mit.edu/pub/xohbfbix,Language Acquisition,[see Language Acquisition],"Conceptualizing priming effects as the result of slight but persistent strengthening mappings between representations allows these phenomena to connect to language acquisition, which is traditionally thought of as learning [see Language...",https://oecs.mit.edu/pub/xohbfbix
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,jr9encpg,https://oecs.mit.edu/pub/jr9encpg,Statistical Learning,[see Statistical Learning],"Representations of single sounds are also implicated as building blocks by common speech errors such as saying “what the bell” instead of “what the hell” in Indo-European languages such as English, Dutch, and Spanish and have therefore b...",https://oecs.mit.edu/pub/jr9encpg
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,1rgtz41v,https://oecs.mit.edu/pub/1rgtz41v,Working Memory,[see Working Memory],model of working memory (which is responsible for the short-term storage and manipulation of information) includes a phonological loop for rehearsing verbal material such as word lists [see Working Memory]. Psycholinguists have often con...,https://oecs.mit.edu/pub/1rgtz41v
b076f599-1e63-48f6-979f-2f7b2d43bdae,e9aapok3,Language Production,3bgjh908,https://oecs.mit.edu/pub/3bgjh908,Neuroscience of Language,[see Neuroscience of Language],"Historically, neuroimaging and electrophysiological measures have not played a large role in language production research because the movements required for speaking disrupted measurement. Also, the research questions often differed, wit...",https://oecs.mit.edu/pub/3bgjh908
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,y1uhdz0y,https://oecs.mit.edu/pub/y1uhdz0y,Psycholinguistics,[see Psycholinguistics],"The study of conversation as a domain of scientific inquiry began with the emergence of conversation analysis in sociology in the 1960s and 70s, a time when audio recording equipment first became widely available. Conversation analysts r...",https://oecs.mit.edu/pub/y1uhdz0y
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,e9aapok3,https://oecs.mit.edu/pub/e9aapok3,Language Production,[see Language Production],"Conversation analysis has provided invaluable insights into the structural organization of conversation, but language production and comprehension has been studied largely outside this environment, with the typical psycholinguistic parad...",https://oecs.mit.edu/pub/e9aapok3
3c00b537-a1fd-4efc-aa30-c3c5d4c8938a,gx9ypm4x,Conversation,2vci5sg1,https://oecs.mit.edu/pub/2vci5sg1,Virtual Reality,[see Virtual Reality],"Conversation analysis has provided invaluable insights into the structural organization of conversation, but language production and comprehension has been studied largely outside this environment, with the typical psycholinguistic parad...",https://oecs.mit.edu/pub/2vci5sg1
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,rbmlimm5,https://oecs.mit.edu/pub/rbmlimm5,Animal Cognition,[see Animal Cognition],"Among experimental techniques, the mirror self-recognition test () was particularly influential. Seeing whether animals can use a mirror to identify bodily marks that cannot be detected without it is widely accepted as an operationalizat...",https://oecs.mit.edu/pub/rbmlimm5
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,ydxr9tvu,https://oecs.mit.edu/pub/ydxr9tvu,Bodily Sensations,[see Bodily Sensations],"More recently, new light has been cast on the Lockean idea of the embodied self through the rubber-hand illusion (), in which subjects are led to identify with a rubber hand by having their unseen hand stroked synchronously with seeing t...",https://oecs.mit.edu/pub/ydxr9tvu
6de7f0b9-ac65-4e1d-9238-3d40b4b82b20,qk3nm299,Self-Consciousness,k7xz3u08,https://oecs.mit.edu/pub/k7xz3u08,Intuitive Theories,[see Intuitive Theories],"One of the more significant developments in cognitive science during the 1980s was the emergence of the topic of mind reading (how we understand the psychology of others to navigate the social world), initially in developmental psycholog...",https://oecs.mit.edu/pub/k7xz3u08
